original_fullcell,frequency,tokens_parsed,chosen_main_token,canonical_plural
"['muskets', 'musket, flintlock', 'musket; firearms; flintlock; .75 in; smooth bore; muzzle load; sa']",3,"muskets; musket, flintlock; musket; firearms; flintlock; .75 in; smooth bore; muzzle load; sa",muskets,muskets
"['muskets', 'musket; firearms; flintlock; .80 in; smooth bore; muzzle load; sa']",2,muskets; musket; firearms; flintlock; .80 in; smooth bore; muzzle load; sa,muskets,muskets
"['muskets', 'musket, flintlock', 'musket; firearms; caliber .72; center fire']",2,"muskets; musket, flintlock; musket; firearms; caliber .72; center fire",muskets,muskets
"['muskets', 'musket, flintlock', 'musket; firearms; flintlock; .72 in; smooth bore; muzzle load; sa']",2,"muskets; musket, flintlock; musket; firearms; flintlock; .72 in; smooth bore; muzzle load; sa",muskets,muskets
"['musket; firearms; flintlock; .78 in; smooth bore; muzzle load; sa', 'muskets', 'musket, flintlock']",2,"musket; firearms; flintlock; .78 in; smooth bore; muzzle load; sa; muskets; musket, flintlock",muskets,muskets
"['muskets', 'musket, flintlock', 'musket; firearms; flintlock; .69 in; smooth bore; muzzle load; sa']",2,"muskets; musket, flintlock; musket; firearms; flintlock; .69 in; smooth bore; muzzle load; sa",muskets,muskets
"['musket, flintock', 'muskets', 'musket; firearms; caliber .69; flintlock']",1,"musket, flintock; muskets; musket; firearms; caliber .69; flintlock",muskets,muskets
"['musket; firearms; caliber .78; center fire', 'muskets', 'musket, flintlock']",1,"musket; firearms; caliber .78; center fire; muskets; musket, flintlock",muskets,muskets
"['musket; firearms; .78 caliber; flintlock', 'musket; firearms; flintlock; .82 in; smooth bore; muzzle load; sa', 'muskets']",1,musket; firearms; .78 caliber; flintlock; musket; firearms; flintlock; .82 in; smooth bore; muzzle load; sa; muskets,muskets,muskets
"['musket, percussion conversion', 'muskets']",1,"musket, percussion conversion; muskets",muskets,muskets
"['muskets', 'musket, flintlock', 'musket; firearms; flintlock; .73 in; smooth bore; muzzle load; sa']",1,"muskets; musket, flintlock; musket; firearms; flintlock; .73 in; smooth bore; muzzle load; sa",muskets,muskets
"['musket; firearms; flintlock; .76 in; smooth bore; muzzle load; sa', 'muskets', 'musket, flintlock']",1,"musket; firearms; flintlock; .76 in; smooth bore; muzzle load; sa; muskets; musket, flintlock",muskets,muskets
"['muskets', 'musket, flintlock', 'musket; firearms; flintlock; .71 in; smooth bore; muzzle load; sa']",1,"muskets; musket, flintlock; musket; firearms; flintlock; .71 in; smooth bore; muzzle load; sa",muskets,muskets
"['muskets', 'musket, flintlock', 'musket; firearms; flintlock; .70 in; smooth bore; muzzle load; sa']",1,"muskets; musket, flintlock; musket; firearms; flintlock; .70 in; smooth bore; muzzle load; sa",muskets,muskets
"['musket; firearms; percussion converted; .69 in; smooth bore; muzzle load; sa', 'musket, percussion conversion', 'muskets']",1,"musket; firearms; percussion converted; .69 in; smooth bore; muzzle load; sa; musket, percussion conversion; muskets",muskets,muskets
"['musket, percussion conversion', 'muskets', 'musket; firearms; percussion converted; .75 in; smooth bore; muzzle load; sa']",1,"musket, percussion conversion; muskets; musket; firearms; percussion converted; .75 in; smooth bore; muzzle load; sa",muskets,muskets
"['musket; firearms; flintlock; .82 in; smooth bore; muzzle load; sa', 'muskets', 'musket, flintlock']",1,"musket; firearms; flintlock; .82 in; smooth bore; muzzle load; sa; muskets; musket, flintlock",muskets,muskets
"['musket; firearms; flintlock; .78 in; smooth bore; muzzle load; sa', 'muskets']",1,musket; firearms; flintlock; .78 in; smooth bore; muzzle load; sa; muskets,muskets,muskets
"['muskets', 'musket; firearms; flintlock; .69 in; smooth bore; muzzle load; sa']",1,muskets; musket; firearms; flintlock; .69 in; smooth bore; muzzle load; sa,muskets,muskets
"['t. french contract musket m. 1795', 'musket; t. french contract musket m. 1795; firearms; flintlock; .69 in; smooth bore; muzzle load; sa', 'muskets', 'musket, flintlock']",1,"t. french contract musket m. 1795; musket; t. french contract musket m. 1795; firearms; flintlock; .69 in; smooth bore; muzzle load; sa; muskets; musket, flintlock",muskets,muskets
"['muskets', 'musket; firearms; flintlock; .46 in; muzzle load; 00; sa']",1,muskets; musket; firearms; flintlock; .46 in; muzzle load; 00; sa,muskets,muskets
"['musket; firearms; army; militia; flintlock; .72 in; smooth bore; mr; sa', 'muskets', 'musket, flintlock']",1,"musket; firearms; army; militia; flintlock; .72 in; smooth bore; mr; sa; muskets; musket, flintlock",muskets,muskets
"['muskets', 'musket, flintlock', 'musket; firearms; army; flintlock; .75 in; smooth bore; muzzle load; sa']",1,"muskets; musket, flintlock; musket; firearms; army; flintlock; .75 in; smooth bore; muzzle load; sa",muskets,muskets
"['muskets', 'musket, flintlock', 'musket; firearms; army; flintlock; .70 in; smooth bore; muzzle load; sa']",1,"muskets; musket, flintlock; musket; firearms; army; flintlock; .70 in; smooth bore; muzzle load; sa",muskets,muskets
"['musket, percussion converted', 'musket, percussion conversion', 'muskets', 'musket; firearms; army; flintlock; .70 in; smooth bore; muzzle load; sa']",1,"musket, percussion converted; musket, percussion conversion; muskets; musket; firearms; army; flintlock; .70 in; smooth bore; muzzle load; sa",muskets,muskets
"['musket; firearms; percussion converted; .70 in; smooth bore; muzzle load; sa', 'musket, percussion conversion', 'muskets']",1,"musket; firearms; percussion converted; .70 in; smooth bore; muzzle load; sa; musket, percussion conversion; muskets",muskets,muskets
"['musket; firearms; flintlock; .70 in; smooth bore; ml; sa', 'muskets']",1,musket; firearms; flintlock; .70 in; smooth bore; ml; sa; muskets,muskets,muskets
"['musket; firearms; flintlock; .79 in; smooth bore; ml; sa', 'muskets']",1,musket; firearms; flintlock; .79 in; smooth bore; ml; sa; muskets,muskets,muskets
"['muskets', 'musket; firearms; flintlock; .70 in; smooth bore; muzzle load; sa']",1,muskets; musket; firearms; flintlock; .70 in; smooth bore; muzzle load; sa,muskets,muskets
"['musket; firearms; percussion converted; .72 in; smooth bore; muzzle load; sa', 'musket, percussion converted', 'muskets']",1,"musket; firearms; percussion converted; .72 in; smooth bore; muzzle load; sa; musket, percussion converted; muskets",muskets,muskets
"['musket; edged weapons; army; socket', 'muskets', 'musket, flintlock']",1,"musket; edged weapons; army; socket; muskets; musket, flintlock",muskets,muskets
['muster roll'],1,muster roll,muster roll,muster rolls
"['nail file', 'personal hygiene product', 'necessaire', 'toothpicks', 'toilet accessory; toothbrush; ""necessaire""; dentistry', 'oral hygiene product', 'toothbrushes', 'ear spoon']",1,"nail file; personal hygiene product; necessaire; toothpicks; toilet accessory; toothbrush; ""necessaire""; dentistry; oral hygiene product; toothbrushes; ear spoon",nail file,nail files
"['nails', 'nail; underwater']",3,nails; nail; underwater,nails,nails
['napkins'],1,napkins,napkins,napkins
['naturalization certificate'],1,naturalization certificate,naturalization certificate,naturalization certificates
['nautical compass (tell tale)'],1,nautical compass,nautical compass,nautical compass
"['neckcloth?; neckwear; accessories worn on the body; female', 'neckcloth?']",1,neckcloth?; neckwear; accessories worn on the body; female; neckcloth?,neckcloth?; neckwear; accessories worn on the body; female,neckcloth?; neckwear; accessories worn on the body; females
"['neckcloth; neckwear; accessories worn on the body; male', 'neckcloth']",1,neckcloth; neckwear; accessories worn on the body; male; neckcloth,neckcloth,neckcloths
"['necklaces', 'necklace; jewelry; accessories worn on the body; female']",2,necklaces; necklace; jewelry; accessories worn on the body; female,necklaces,necklaces
"['neckwear', 'necktie; neckwear; accessories worn on the body; female']",2,neckwear; necktie; neckwear; accessories worn on the body; female,neckwear,neckwears
"['needle, crochet', 'crochet hooks']",1,"needle, crochet; crochet hooks","needle, crochet","needle, crochets"
"['needle, knitting']",6,"needle, knitting","needle, knitting","needle, knittings"
['needleholder pincushion'],1,needleholder pincushion,needleholder pincushion,needleholder pincushions
"['needlework, embroidery']",1,"needlework, embroidery","needlework, embroidery","needlework, embroideries"
['newspaper clipping'],1,newspaper clipping,newspaper clipping,newspaper clippings
"['newspaper page; printed', 'clipping, newspaper']",1,"newspaper page; printed; clipping, newspaper",newspaper page; printed,newspaper page; printeds
['newspaper sheet'],1,newspaper sheet,newspaper sheet,newspaper sheets
['newspapers'],31,newspapers,newspapers,newspapers
"['newspaper; printed', 'newspapers']",7,newspaper; printed; newspapers,newspapers,newspapers
"['newspapers', 'newspaper; print; letterpress']",5,newspapers; newspaper; print; letterpress,newspapers,newspapers
"['newspapers', 'print; letterpress']",4,newspapers; print; letterpress,newspapers,newspapers
"['print; newspaper; letterpress', 'newspapers']",3,print; newspaper; letterpress; newspapers,newspapers,newspapers
"['newspapers', 'advertisement, william bond watches']",1,"newspapers; advertisement, william bond watches",newspapers,newspapers
"['newspapers', 'newspaper; letterpress']",1,newspapers; newspaper; letterpress,newspapers,newspapers
"['nippers, sugar']",1,"nippers, sugar","nippers, sugar","nippers, sugars"
['nipple shield'],1,nipple shield,nipple shield,nipple shields
['note'],2470,note,bank note,bank notes
"['note', 'paper money']",35,note; paper money,bank note,bank notes
"['note', 'bank note; 1780 05 05', 'bank note']",16,note; bank note; 1780 05 05; bank note,bank note,bank notes
"['note', 'bank note', 'bank note; 1778 09 26']",11,note; bank note; bank note; 1778 09 26,bank note,bank notes
"['note', 'bank note; 1776 06 19', 'bank note']",9,note; bank note; 1776 06 19; bank note,bank note,bank notes
"['note', 'bank note; 1779 01 14', 'bank note']",9,note; bank note; 1779 01 14; bank note,bank note,bank notes
"['note', 'bank note; 1776 03 25', 'bank note']",9,note; bank note; 1776 03 25; bank note,bank note,bank notes
"['note', 'colonial note']",8,note; colonial note,bank note,bank notes
"['note', 'continental currency']",8,note; continental currency,bank note,bank notes
"['note', 'bank note; 1780 07 01', 'bank note']",8,note; bank note; 1780 07 01; bank note,bank note,bank notes
"['note', 'bank note; 1776 00 00', 'bank note']",8,note; bank note; 1776 00 00; bank note,bank note,bank notes
"['note', 'bank note; 1776 03 05', 'bank note']",8,note; bank note; 1776 03 05; bank note,bank note,bank notes
"['note', 'paper currency']",8,note; paper currency,bank note,bank notes
"['money', 'note']",7,money; note,bank note,bank notes
"['note', 'bank note', 'bank note; 1780 04 29']",6,note; bank note; bank note; 1780 04 29,bank note,bank notes
"['note', 'bank note; 1776 06 07', 'bank note']",6,note; bank note; 1776 06 07; bank note,bank note,bank notes
"['note', 'bank note; 1780 03 01', 'bank note']",6,note; bank note; 1780 03 01; bank note,bank note,bank notes
"['bank note; 1776 02 17', 'note', 'bank note']",5,bank note; 1776 02 17; note; bank note,bank note,bank notes
"['note', 'bank note; 1777 10 11', 'bank note']",5,note; bank note; 1777 10 11; bank note,bank note,bank notes
"['note', 'bank note', 'bank note; 1777 06 08']",5,note; bank note; bank note; 1777 06 08,bank note,bank notes
"['note', 'bank note; 1780 06 01', 'bank note']",5,note; bank note; 1780 06 01; bank note,bank note,bank notes
"['note', 'bank note; 1780 06 28', 'bank note']",5,note; bank note; 1780 06 28; bank note,bank note,bank notes
"['note', 'bank note; 1773 10 01', 'bank note']",4,note; bank note; 1773 10 01; bank note,bank note,bank notes
"['note', 'bank note', 'bank note; 1781 03 01']",4,note; bank note; bank note; 1781 03 01,bank note,bank notes
"['note', 'bank note', 'bank note; 1776 10 18']",4,note; bank note; bank note; 1776 10 18,bank note,bank notes
"['note', 'bank note', 'bank note; 1773 04 01']",4,note; bank note; bank note; 1773 04 01,bank note,bank notes
"['note', 'paper money', 'bank note']",3,note; paper money; bank note,bank note,bank notes
"['note', 'bank note']",3,note; bank note,bank note,bank notes
"['note', 'bank note', 'bank note; 1780 05 05']",3,note; bank note; bank note; 1780 05 05,bank note,bank notes
"['continental currency', 'note', 'bank note; continental currency; 1775 05 10', 'bank note', 'continental currency']",3,continental currency; note; bank note; continental currency; 1775 05 10; bank note; continental currency,bank note,bank notes
"['note', 'bank note', 'bank note; 1778 04 11']",3,note; bank note; bank note; 1778 04 11,bank note,bank notes
"['note', 'bank note; 1775 05 10', 'bank note']",3,note; bank note; 1775 05 10; bank note,bank note,bank notes
"['note', 'bank note', 'bank note; 1776 04 02']",3,note; bank note; bank note; 1776 04 02,bank note,bank notes
"['note', 'bank note; 1775 04 10', 'bank note']",3,note; bank note; 1775 04 10; bank note,bank note,bank notes
"['note', 'early american paper money']",3,note; early american paper money,bank note,bank notes
"['note', 'bank note; 1780 07 02', 'bank note']",3,note; bank note; 1780 07 02; bank note,bank note,bank notes
"['currency, continental, counterfeit', 'note']",2,"currency, continental, counterfeit; note",bank note,bank notes
"['note', 'bank note', 'bank note; 1777 02 26']",2,note; bank note; bank note; 1777 02 26,bank note,bank notes
"['note', 'bank note; 1775 05 25', 'bank note']",2,note; bank note; 1775 05 25; bank note,bank note,bank notes
"['note', 'bank note; 1775 06 01', 'bank note']",2,note; bank note; 1775 06 01; bank note,bank note,bank notes
"['note', 'bank note; 1774 04 10', 'bank note']",2,note; bank note; 1774 04 10; bank note,bank note,bank notes
"['note', 'bank note', 'bank note; 1771 12 00']",2,note; bank note; bank note; 1771 12 00,bank note,bank notes
"['note', 'bank note; 1776 12 23', 'bank note']",2,note; bank note; 1776 12 23; bank note,bank note,bank notes
"['note', 'paper money', 'bank note', 'bank note; 1776 04 02']",2,note; paper money; bank note; bank note; 1776 04 02,bank note,bank notes
"['uncut sheet', 'note']",1,uncut sheet; note,bank note,bank notes
"['note', 'bank note', 'bank note; 1781 05 07']",1,note; bank note; bank note; 1781 05 07,bank note,bank notes
"['note', 'bank note; 1780 10 16', 'bank note']",1,note; bank note; 1780 10 16; bank note,bank note,bank notes
"['note', 'bank note', 'bank note; 1786 05 00']",1,note; bank note; bank note; 1786 05 00,bank note,bank notes
"['note', 'bank note; 1780 07 14', 'bank note']",1,note; bank note; 1780 07 14; bank note,bank note,bank notes
"['note', 'receipt']",1,note; receipt,bank note,bank notes
"['note', 'bank note', 'bank note; 1786 00 00']",1,note; bank note; bank note; 1786 00 00,bank note,bank notes
"['note', 'bank note', 'bank note; 1777 10 20']",1,note; bank note; bank note; 1777 10 20,bank note,bank notes
"['note', 'bill of exchange']",1,note; bill of exchange,bank note,bank notes
"['note', 'bank note', 'bank note; 1779 02 08']",1,note; bank note; bank note; 1779 02 08,bank note,bank notes
"['note', 'bank note', 'bank note; 1778 04 10']",1,note; bank note; bank note; 1778 04 10,bank note,bank notes
"['note', 'bank note', 'bank note; 1775 09 01']",1,note; bank note; bank note; 1775 09 01,bank note,bank notes
"['note', 'bank note; 1775 11 15', 'bank note']",1,note; bank note; 1775 11 15; bank note,bank note,bank notes
"['note', 'bank note', 'bank note; 1775 11 15']",1,note; bank note; bank note; 1775 11 15,bank note,bank notes
"['note; 1793 02 01', 'note']",1,note; 1793 02 01; note,bank note,bank notes
"['note; 1775 08 02', 'note']",1,note; 1775 08 02; note,bank note,bank notes
"['note', 'note; 1776 01 06']",1,note; note; 1776 01 06,bank note,bank notes
"['note; 1789 07 06', 'note']",1,note; 1789 07 06; note,bank note,bank notes
"['note', 'bank note', 'bank note; 1790 00 00']",1,note; bank note; bank note; 1790 00 00,bank note,bank notes
"['note', 'receipt; 1778 03 12', 'receipt']",1,note; receipt; 1778 03 12; receipt,bank note,bank notes
"['note', 'note; 1788 03 20']",1,note; note; 1788 03 20,bank note,bank notes
"['note; 1789 12 10', 'note']",1,note; 1789 12 10; note,bank note,bank notes
"['note', 'note; 1788 02 15']",1,note; note; 1788 02 15,bank note,bank notes
"['note', 'check']",1,note; check,bank note,bank notes
"['note', 'bank note; 1781 04 20', 'bank note']",1,note; bank note; 1781 04 20; bank note,bank note,bank notes
"['note', 'note; 1791 12 19']",1,note; note; 1791 12 19,bank note,bank notes
"['note', 'note; 1786 04 01']",1,note; note; 1786 04 01,bank note,bank notes
"['note', 'voucher']",1,note; voucher,bank note,bank notes
"['note', 'bill of exchange', 'bill of exchange; 178? 00 00']",1,note; bill of exchange; bill of exchange; 178? 00 00,bank note,bank notes
"['note', 'paper currency, united states, 1 3', 'paper currency']",1,"note; paper currency, united states, 1 3; paper currency",bank note,bank notes
"['note', 'bill of exchange', 'note; 178? 00 00']",1,note; bill of exchange; note; 178? 00 00,bank note,bank notes
"['note', 'colonial', 'bank note; colonial; 1773 06 01']",1,note; colonial; bank note; colonial; 1773 06 01,bank note,bank notes
"['note', 'bank note; 1777 05 20', 'bank note']",1,note; bank note; 1777 05 20; bank note,bank note,bank notes
"['note', 'bank note; 1776 11 02', 'bank note']",1,note; bank note; 1776 11 02; bank note,bank note,bank notes
"['note', 'bank note', 'bank note; 1776 07 22']",1,note; bank note; bank note; 1776 07 22,bank note,bank notes
"['note', 'bank note; 1776 05 09', 'bank note']",1,note; bank note; 1776 05 09; bank note,bank note,bank notes
"['uncut sheet', 'note', 'bank note; 1777 10 11', 'bank note']",1,uncut sheet; note; bank note; 1777 10 11; bank note,bank note,bank notes
"['note', 'bank note', 'bank note; 1780 06 01']",1,note; bank note; bank note; 1780 06 01,bank note,bank notes
"['continental currency', 'note', 'continental currency; bank note; 1775 05 10', 'bank note', 'continental currency']",1,continental currency; note; continental currency; bank note; 1775 05 10; bank note; continental currency,bank note,bank notes
"['bank note; 1776 02 17', 'note']",1,bank note; 1776 02 17; note,bank note,bank notes
"['note', 'bank note; 1776 01 01', 'bank note']",1,note; bank note; 1776 01 01; bank note,bank note,bank notes
"['note', 'bank note', 'bank note; 1775 12 07']",1,note; bank note; bank note; 1775 12 07,bank note,bank notes
"['note', 'bank note', 'bank note; 1776 03 05']",1,note; bank note; bank note; 1776 03 05,bank note,bank notes
"['note', 'bank note', 'bank note; 1775 09 02']",1,note; bank note; bank note; 1775 09 02,bank note,bank notes
"['note', 'bank note', 'bank note; 1771 02 16']",1,note; bank note; bank note; 1771 02 16,bank note,bank notes
"['note', 'bank note', 'bank note; 1776 03 25']",1,note; bank note; bank note; 1776 03 25,bank note,bank notes
"['note', 'bank note; 1779 00 00', 'bank note']",1,note; bank note; 1779 00 00; bank note,bank note,bank notes
"['note', 'paper money', 'bank note', 'bank note; 1776 10 18']",1,note; paper money; bank note; bank note; 1776 10 18,bank note,bank notes
"['note', 'bank note', 'bank note; 1776 08 13']",1,note; bank note; bank note; 1776 08 13,bank note,bank notes
"['note', 'bank note; 1780 05 10', 'bank note']",1,note; bank note; 1780 05 10; bank note,bank note,bank notes
"['note', 'bank note', 'bank note; 1779 05 15']",1,note; bank note; bank note; 1779 05 15,bank note,bank notes
"['note', 'bank note; 1778 08 08', 'bank note']",1,note; bank note; 1778 08 08; bank note,bank note,bank notes
"['note', 'paper money', 'bank note', 'bank note; 1771 12 00']",1,note; paper money; bank note; bank note; 1771 12 00,bank note,bank notes
"['note', 'bank note; 1777 00 00', 'bank note']",1,note; bank note; 1777 00 00; bank note,bank note,bank notes
"['note', 'bank note', 'bank note; 1777 09 10']",1,note; bank note; bank note; 1777 09 10,bank note,bank notes
"['note', 'bank note', 'bank note; 1776 08 14']",1,note; bank note; bank note; 1776 08 14,bank note,bank notes
"['note', 'bank note; 1777 03 01', 'bank note']",1,note; bank note; 1777 03 01; bank note,bank note,bank notes
"['note', 'paper money', 'bank note', 'bank note; 1777 06 08']",1,note; paper money; bank note; bank note; 1777 06 08,bank note,bank notes
"['note', 'paper money', 'colonial note']",1,note; paper money; colonial note,bank note,bank notes
"['note', 'bank note', 'bank note; 1775 08 18']",1,note; bank note; bank note; 1775 08 18,bank note,bank notes
"['continental currency', 'note']",1,continental currency; note,bank note,bank notes
"['note', 'paper money', 'obsolete bank note']",1,note; paper money; obsolete bank note,bank note,bank notes
"['note', 'note; manuscript']",1,note; note; manuscript,bank note,bank notes
['nyckelharpa'],1,nyckelharpa,nyckelharpa,nyckelharpas
['oath of allegiance'],1,oath of allegiance,oath of allegiance,oath of allegiances
['oboes'],2,oboes,oboes,oboes
['obsolete paper money'],5,obsolete paper money,obsolete paper money,obsolete paper moneys
['octant'],7,octant,octant,octants
"['maritime; navigation', 'octant']",1,maritime; navigation; octant,octant,octants
['optical flat'],1,optical flat,optical flat,optical flats
"['order', 'order']",1,order; order,order,orders
['organ'],1,organ,organ,organs
"['ornament, flagstaff', 'finial, staff; 41cc, sullivan, michael d']",1,"ornament, flagstaff; finial, staff; 41cc, sullivan, michael d","ornament, flagstaff","ornament, flagstafves"
['orreries'],2,orreries,orreries,orreries
"['orrery   tellurian', 'orreries']",1,orrery tellurian; orreries,orreries,orreries
['orrery   tellurian'],1,orrery tellurian,orrery tellurian,orrery tellurians
"['oven, dutch']",3,"oven, dutch","oven, dutch","oven, dutches"
['oyster jar'],1,oyster jar,oyster jar,oyster jars
"['pad, kiln']",1,"pad, kiln","pad, kiln","pad, kilns"
"['paddle, butter']",1,"paddle, butter","paddle, butter","paddle, butters"
"['paddle, stirring']",1,"paddle, stirring","paddle, stirring","paddle, stirrings"
['paddles (watercraft equipment)'],1,paddles,paddles,paddles
"['page, workbook']",1,"page, workbook","page, workbook","page, workbooks"
"['painting, certificate', 'painting; pictures; watercolor; fraktur']",1,"painting, certificate; painting; pictures; watercolor; fraktur","painting, certificate","painting, certificates"
"['painting, glass transfer', 'painting; reverse on glass']",2,"painting, glass transfer; painting; reverse on glass","painting, glass transfer","painting, glass transfers"
"['painting; pictures; reverse on glass; portrait', 'painting, glass transfer']",1,"painting; pictures; reverse on glass; portrait; painting, glass transfer","painting, glass transfer","painting, glass transfers"
"['painting, portrait']",1,"painting, portrait","painting, portrait","painting, portraits"
['paintings'],297,paintings,paintings,paintings
"['miniatures', 'paintings']",20,miniatures; paintings,paintings,paintings
"['paintings', 'folk art']",8,paintings; folk art,paintings,paintings
"['paintings', 'exterior views']",6,paintings; exterior views,paintings,paintings
"['paintings', 'painting; pictures; watercolor']",2,paintings; painting; pictures; watercolor,paintings,paintings
"['paintings', 'painting; pictures; oil on canvas; portrait']",2,paintings; painting; pictures; oil on canvas; portrait,paintings,paintings
"['paintings', 'portraits']",2,paintings; portraits,paintings,paintings
"['paintings', 'painting, portrait']",1,"paintings; painting, portrait",paintings,paintings
"['paintings', 'painting, portrait', 'portraits']",1,"paintings; painting, portrait; portraits",paintings,paintings
"['paintings', 'painting; pictures; watercolor; mourning']",1,paintings; painting; pictures; watercolor; mourning,paintings,paintings
"['paintings', 'painting; pictures; watercolor; landscape']",1,paintings; painting; pictures; watercolor; landscape,paintings,paintings
"['paintings', 'painting; pictures; oil on canvas; 392,912; portrait']",1,"paintings; painting; pictures; oil on canvas; 392,912; portrait",paintings,paintings
"['paintings', 'painting; pictures; oil on canvas; 59.316; portrait']",1,paintings; painting; pictures; oil on canvas; 59.316; portrait,paintings,paintings
"['paintings', 'painting; pictures']",1,paintings; painting; pictures,paintings,paintings
"['painting; pictures; oil on board; portrait', 'paintings']",1,painting; pictures; oil on board; portrait; paintings,paintings,paintings
"['paintings', 'sheet (paper); no #020; painting; watercolor; fraktur']",1,paintings; sheet ; no #020; painting; watercolor; fraktur,paintings,paintings
['pamphlets'],9,pamphlets,pamphlets,pamphlets
"['pamphlets; manuscript', 'pamphlets', 'manuscripts']",2,pamphlets; manuscript; pamphlets; manuscripts,pamphlets,pamphlets
"['pamphlet; relief', 'pamphlets']",1,pamphlet; relief; pamphlets,pamphlets,pamphlets
"['reliefs (sculpture)', 'pamphlets']",1,reliefs; pamphlets,pamphlets,pamphlets
"['booklets', 'reliefs (sculpture)', 'pamphlets']",1,booklets; reliefs; pamphlets,pamphlets,pamphlets
"['pan, baking']",1,"pan, baking","pan, baking","pan, bakings"
"['pan, close stool']",3,"pan, close stool","pan, close stool","pan, close stools"
"['pan, close stool', 'pot, commode']",1,"pan, close stool; pot, commode","pan, close stool","pan, close stools"
"['pan, frying']",2,"pan, frying","pan, frying","pan, fryings"
"['panel, printed']",1,"panel, printed","panel, printed","panel, printeds"
"['panel, religious']",1,"panel, religious","panel, religious","panel, religiouses"
['pans (containers)'],2,pans,pans,pans
['pantograph'],2,pantograph,pantograph,pantographs
['pap boat'],1,pap boat,pap boat,pap boats
['paper currency'],6,paper currency,paper currency,paper currencies
['paper money'],7,paper money,paper money,paper moneys
"['obsolete paper money', 'paper money']",1,obsolete paper money; paper money,paper money,paper moneys
"['currency sheet', 'paper money']",1,currency sheet; paper money,paper money,paper moneys
"['paperweight, footed', 'paperweights']",1,"paperweight, footed; paperweights","paperweight, footed","paperweight, footeds"
['patent license'],1,patent license,patent license,patent licenses
['patent'],1,patent,patent,patents
"[""pattern book, weaver's""]",1,"pattern book, weaver's","pattern book, weaver's","pattern book, weaver's"
"['pattern, lace']",1,"pattern, lace","pattern, lace","pattern, laces"
['pay order'],2,pay order,pay order,pay orders
"['pendant; jewelry; accessories worn on the body; female', 'pendants (jewelry)']",2,pendant; jewelry; accessories worn on the body; female; pendants,pendants,pendants
['pendants (jewelry)'],1,pendants,pendants,pendants
['pennants'],2,pennants,pennants,pennants
"['pennants', 'guidon; flag; military; army; dragoon, light; rgt 2']",1,"pennants; guidon; flag; military; army; dragoon, light; rgt 2",pennants,pennants
['pens (drawing and writing)'],3,pens,pens,pens
"['perfume bottle', 'cosmetics', 'accessories for the care of the person', 'perfume bottle; accessories for care of the person']",1,perfume bottle; cosmetics; accessories for the care of the person; perfume bottle; accessories for care of the person,perfume bottle,perfume bottles
['periodicals'],1,periodicals,periodicals,periodicals
['pestles'],2,pestles,pestles,pestles
"['pestle; kitchen utensils', 'pestles']",1,pestle; kitchen utensils; pestles,pestles,pestles
"['underwear', 'lower body', 'petticoats (underskirts)', 'petticoat; lower body; underwear; female']",2,underwear; lower body; petticoats; petticoat; lower body; underwear; female,petticoats,petticoats
['petticoats (underskirts)'],1,petticoats,petticoats,petticoats
"['slip; entire body; underwear; female', 'slip', 'slip', 'petticoats (underskirts)']",1,slip; entire body; underwear; female; slip; slip; petticoats,petticoats,petticoats
"['petticoats (underskirts)', 'petticoat; lower body; underwear; female']",1,petticoats; petticoat; lower body; underwear; female,petticoats,petticoats
['pharmaceutical measure'],1,pharmaceutical measure,pharmaceutical measure,pharmaceutical measures
"['photograph, black and white']",1,"photograph, black and white","photograph, black and white","photograph, black and whites"
['photographs'],1,photographs,photographs,photographs
"['photographs, set of']",1,"photographs, set of","photographs, set of","photographs, set oves"
['pianos'],43,pianos,pianos,pianos
"['picture, embroidered']",1,"picture, embroidered","picture, embroidered","picture, embroidereds"
"['picture, mourning']",1,"picture, mourning","picture, mourning","picture, mournings"
['piggin'],1,piggin,piggin,piggins
['pillowcases'],1,pillowcases,pillowcases,pillowcases
"['rolling pin; kitchen utensils', 'pin, rolling']",1,"rolling pin; kitchen utensils; pin, rolling","pin, rolling","pin, rollings"
"['pin, rolling']",1,"pin, rolling","pin, rolling","pin, rollings"
['pins (fasteners)'],1,pins,pins,pins
['pins'],1,pins,pins,pins
"['pipe bowl; smoking equipment', 'bowl, pipe']",2,"pipe bowl; smoking equipment; bowl, pipe",pipe bowl; smoking equipment,pipes
['pipe tamper'],1,pipe tamper,pipe tamper,pipes
"['pipe, smoking']",1,"pipe, smoking","pipe, smoking",pipes
"['pipe, tobacco']",1,"pipe, tobacco","pipe, tobacco",pipes
"['pipe; smoking equipment', 'pipes (smoking equipment)']",16,pipe; smoking equipment; pipes,pipe; smoking equipment,pipes
"['pipe; smoking equipment', 'pipe, tobacco']",1,"pipe; smoking equipment; pipe, tobacco",pipe; smoking equipment,pipes
"['pipe bowl; smoking equipment', 'pipes (smoking equipment)']",1,pipe bowl; smoking equipment; pipes,pipes,pipes
"['pistol sword', 'pistol sword; flintlock; muzzle load; sa']",1,pistol sword; pistol sword; flintlock; muzzle load; sa,pistol sword,pistol swords
"['pistols', 'pistol, flintlock', 'pistol; firearms; navy; flintlock; .69 in; smooth bore; muzzle load; sa']",4,"pistols; pistol, flintlock; pistol; firearms; navy; flintlock; .69 in; smooth bore; muzzle load; sa",pistols,pistols
['pistols'],3,pistols,pistols,pistols
