canonical_type,suggested_canonical,changed_flag,object_types_list,objectType,physicalDescription
levels,levels,False,['level (wye)'],"{""Object Name"": ""level (wye)""}","{""Measurements"": ""telescope: 26 in; 66.04 cm""}"
license plates,license plates,False,['License Plate'],"{""Object Name"": ""License Plate""}","{""Measurements"": ""overall: 12 in x 6 in x 1/4 in; 30.48 cm x 15.24 cm x .635 cm""}"
"lifter, pots","lifter, pots",False,"['lifter, pot']","{""Object Name"": ""lifter, pot""}","{""Physical Description"": ""iron, wrought (overall material)"", ""Measurements"": ""overall: 2 in x 7 1/4 in x 4 1/2 in; 5.08 cm x 18.415 cm x 11.43 cm""}"
lighter; fire making apparatuses,lighter,True,"['Lighter; Fire Making Apparatus', 'lighter']","{""Object Name"": ""lighter"", ""Other Terms"": ""Lighter; Fire Making Apparatus""}","{""Physical Description"": ""silver plate (tube, chains, caps, hook material)\ngold (decoration material)\nsteel (firesteel material)\nsilk (alma or tinder cord wrapping material)\namadou (tinder material)"", ""Measurements"": ""overall, extended: 5/8 in x 16 1/4 in x 2 1/4 in; 1.5875 cm x 41.275 cm x 5.715 cm\noverall, minimum storage: 5/8 in x 4 in x 1 1/2 in; 1.5875 cm x 10.16 cm x 3.81 cm""}"
lithographs,lithographs,False,['Lithographs'],"{""Object Name"": ""lithograph""}","{""Physical Description"": ""drawing?, pen? and? ink? (overall production method/technique)""}"
"lock, well buckets","lock, well buckets",False,"['lock, well bucket']","{""Object Name"": ""lock, well bucket""}","{""Physical Description"": ""iron (overall material)"", ""Measurements"": ""overall: 3/4 in x 7 3/4 in x 6 in; 1.905 cm x 19.685 cm x 15.24 cm""}"
lottery tickets,lottery tickets,False,['Lottery tickets'],"{""Object Name"": ""lottery ticket""}","{""Physical Description"": ""paper (overall material)"", ""Measurements"": ""overall: 6 cm x 10.9 cm x .01 cm; 2 3/8 in x 4 9/32 in x in""}"
maagazine covers,maagazine covers,False,"['maagazine cover', 'cartoon', 'magazine cover']","{""Object Name"": ""magazine cover\nmaagazine cover\ncartoon""}","{""Physical Description"": ""paper (overall material)\nbrown; grey; red (overall color)"", ""Measurements"": ""overall: 13 1/2 in x 10 1/4 in; 34.29 cm x 26.035 cm""}"
mace; edged weapons,mace,True,"['Mace; Edged Weapons', 'Maces']","{""Object Name"": ""Mace"", ""Other Terms"": ""Mace; Edged Weapons""}",
"machine tool, metalworking, lathe, poles","machine tool, metalworking, lathe, poles",False,"['Machine Tool, Metalworking, Lathe, Pole', 'Pole Lathe']","{""Object Name"": ""Machine Tool, Metalworking, Lathe, Pole\nPole Lathe""}","{""Measurements"": ""overall - from catalog card: 9 in x 9 1/2 in x 5 3/4 in; 22.86 cm x 24.13 cm x 14.605 cm\noverall: 9 in x 9 5/8 in x 6 3/4 in; 22.86 cm x 24.4475 cm x 17.145 cm\noverall - figure: 12 1/4 in x 5 1/8 in x 4 in; 31.115 cm x 13.0175 cm x 10.16 cm""}"
magnifying glasses,magnifying glasses,False,"['magnifying glasses', 'microscope, hand-held, set']","{""Object Name"": ""magnifying glasses\nmicroscope, hand-held, set""}","{""Physical Description"": ""brass (overall material)\nebony (overall material)\nglass (overall material)\nwood (overall material)\nleather (overall material)\nchomis (overall material)"", ""Measurements"": ""overall: 5.3 cm x 17.3 cm x 16.7 cm; 2 3/32 in x 6 13/16 in x 6 9/16 in\noverall, case: 2 1/8 in x 6 3/4 in x 6 5/8 in; 5.3975 cm x 17.145 cm x 16.8275 cm""}"
mail processing equipments,mail processing equipments,False,['Mail Processing Equipment'],"{""Type"": ""Mail Processing Equipment""}","{""Medium"": ""paper; ink; wax"", ""Dimensions"": ""Height x Width: 3 7/8 \u00d7 9 1/4 in. (9.84 \u00d7 23.5 cm)""}"
main garments,main garments,False,"['Vests (garments)', 'Upper Body', 'Main garments']","{""Object Name"": ""Vest"", ""Object Type"": ""Main Dress\nVest\nMan\nUpper Body""}",
mallets,mallets,False,['Mallets (tools)'],"{""Object Name"": ""mallet""}","{""Physical Description"": ""wood (overall material)"", ""Measurements"": ""overall: 12 5/8 in x 3 1/2 in; 32.0675 cm x 8.89 cm""}"
mangle boards,mangle boards,False,['mangle board'],"{""Object Name"": ""mangle board""}","{""Measurements"": ""overall: 5 1/2 in x 25 in x 6 3/4 in; 13.97 cm x 63.5 cm x 17.145 cm""}"
manuscripts,manuscripts,False,['Manuscripts'],"{""Object Name"": ""manuscript""}","{""Physical Description"": ""ink (overall material)\npaper (overall material)"", ""Measurements"": ""overall: 7 1/4 in x 8 1/8 in; 18.415 cm x 20.6375 cm""}"
maps,maps,False,"['Graphic arts', 'Maps']","{""Type"": ""Graphic Arts-Print""}","{""Medium"": ""engraving and hand-colored etching"", ""Dimensions"": ""15 5/8 x 47 7/8 in. (39.7 x 121.6 cm)""}"
"masher, potatos","masher, potatos",False,"['masher, potato', 'Potato Masher; Kitchen Utensils']","{""Object Name"": ""masher, potato"", ""Other Terms"": ""Potato Masher; Kitchen Utensils""}","{""Physical Description"": ""wood (overall material)"", ""Measurements"": ""overall: 11 in x 2 5/8 in; 27.94 cm x 6.6675 cm""}"
masticators,masticators,False,['masticator'],"{""Object Name"": ""masticator""}","{""Physical Description"": ""metal, iron (teeth, scraper material)\nwood (overall material)"", ""Measurements"": ""overall: 1 5/8 in x 15 3/16 in x 6 1/4 in; 4.1275 cm x 38.5445 cm x 15.875 cm""}"
match box; fire making apparatuses,boxes,True,"['Match Box; Fire Making Apparatus', 'matchbox']","{""Object Name"": ""matchbox"", ""Other Terms"": ""Match Box; Fire Making Apparatus""}","{""Physical Description"": ""silver (overall material)"", ""Measurements"": ""overall: 1/2 in x 2 1/16 in x 1 1/2 in; 1.27 cm x 5.23875 cm x 3.81 cm""}"
matchbooks,matchbooks,False,['matchbook'],"{""Object Name"": ""matchbook""}","{""Physical Description"": ""paper (overall material)\nlight blue (overall color)"", ""Measurements"": ""overall: 1 7/8 in x 2 in x 1/4 in; 4.7625 cm x 5.08 cm x .635 cm""}"
"materials, constructions","materials, constructions",False,"['materials, construction']","{""Object Name"": ""materials, construction""}","{""Physical Description"": ""pewter (spoon bowl material)\nearthenware, lead-glazed (pearlware) (transferware sherds material)\nearthenware, tin-glazed (tin-glaze sherds material)\nearthenware, lead-glazed (creamware) (creamware sherds material)\nearthenware, red, lead-glazed (redware) (redware sherds material)\nporcelain, hard-paste (porcelain sherds material)\nenamel (porcelain sherds material)\nclay, pipe (pipe stem pieces material)\nglass, lead (shards material)\niron, wrought (tie bolt material)\nbone, mammal (bone material)"", ""Measurements"": ""overall, largest piece: 5/16 in x 1 1/2 in x 3 1/4 in; .79375 cm x 3.81 cm x 8.255 cm\noverall, smallest piece: 1/8 in x 11/16 in x 11/16 in; .3175 cm x 1.74625 cm x 1.74625 cm\noverall, spoon bowl: 3 5/16 in x 1 5/8 in x 1/2 in; 8.41375 cm x 4.1275 cm x 1.27 cm""}"
maul clubs,maul clubs,False,"['Maul Club', 'Maul Club; Woodworking; Striking & Prizing Tools; Hand Tools']","{""Object Name"": ""Maul Club"", ""Other Terms"": ""Maul Club; Woodworking; Striking & Prizing Tools; Hand Tools""}","{""Physical Description"": ""wood, hickory? (overall material)"", ""Measurements"": ""overall: 31 1/2 in; x 80.01 cm""}"
mauls,mauls,False,"['Mauls (striking tools)', 'Maul; Woodworking; Striking & Prizing Tools; Hand Tools']","{""Object Name"": ""Maul"", ""Other Terms"": ""Maul; Woodworking; Striking & Prizing Tools; Hand Tools""}","{""Measurements"": ""overall: 75.4 cm x 19 cm x 22 cm; 29 11/16 in x 7 1/2 in x 8 11/16 in""}"
measures,measures,False,['measure'],"{""Object Name"": ""measure""}","{""Physical Description"": ""pewter (overall material)"", ""Measurements"": ""overall: 6 7/8 in x 5 in x 4 in; 17.4625 cm x 12.7 cm x 10.16 cm""}"
"medal, politicals","medal, politicals",False,"['medal, political']","{""Object Name"": ""medal, political""}","{""Physical Description"": ""bronze (overall material)"", ""Measurements"": ""overall: 2 1/2 in; x 6.35 cm""}"
medal; personal; commemoratives,medal,True,"['Medal; Personal; Commemorative', 'Medallions (medals)']","{""Object Name"": ""medallion"", ""Other Terms"": ""Medal; Personal; Commemorative""}","{""Physical Description"": ""electrotype (overall production method)\nbronze (overall metal)\noval (overall shape)\ncast (overall production method/technique)\njoined shells (loop production method/technique)"", ""Measurements"": ""overall: 6.23 cm x 4.25 cm; 2 7/16 in x 1 11/16 in""}"
medalets,medalets,False,['medalet'],"{""Object Name"": ""medalet""}","{""Physical Description"": ""silver (overall material)""}"
medallions,medallions,False,['Medallions (medals)'],"{""Object Name"": ""medallion""}","{""Physical Description"": ""ceramic, stoneware, refined (overall material)"", ""Measurements"": ""overall: 2 in x 1 3/4 in; 5.08 cm x 4.445 cm\noverall: 7/16 in x 1 13/16 in x 2 1/8 in; 1.11125 cm x 4.60375 cm x 5.3975 cm""}"
medals,medals,False,['Medals'],"{""Type"": ""Medal""}","{""Medium"": ""Silver"", ""Dimensions"": ""7.6 \u00d7 0.5 cm (3 \u00d7 3/16\"")""}"
medicine chests,medicine chests,False,"['bandages, lint', 'medicine chest', 'Medicine Chest']","{""Object Name"": ""Medicine Chest\nmedicine chest\nbandages, lint""}","{""Physical Description"": ""wood (chest material)\nmetal (handles and pulls material)\nglass; paper (bottles material)\ncotton (overall material)\nflax (overall material)\ntin; iron; paper; organic material (unspecified); leather; fabric; ivory (overall material)"", ""Measurements"": ""overall: 10 5/8 in x 10 3/8 in x 9 1/4 in; 26.9875 cm x 26.3525 cm x 23.495 cm\noverall: 26.2 cm x 25.5 cm x 23 cm; 10 5/16 in x 10 1/16 in x 9 1/16 in\ncase, top open 45 degrees, drawers open 4.375 in: 17 in x 10 in x 16 1/2 in; 43.18 cm x 25.4 cm x 41.91 cm\nvial, black drop: 3 3/16 in x 7/8 in; 8.09625 cm x 2.2225 cm\nbottle, antimonial wine: 4 1/8 in x 1 1/4 in x 1 9/16 in; 10.4775 cm x 3.175 cm x 3.96875 cm\nbottle, calomel: 2 3/8 in x 1 1/4 in x 1 3/16 in; 6.0325 cm x 3.175 cm x 3.01625 cm\nbottle, bark (powdered): 5 7/8 in x 2 in x 2 in; 14.9225 cm x 5.08 cm x 5.08 cm\nbottle, bark (tincture): 4 1/2 in x 1 15/16 in x 1 7/8 in; 11.43 cm x 4.92125 cm x 4.7625 cm""}"
mess kits,mess kits,False,"['mess kit', 'camp chest', 'mess kit; camp chest; Equipment, Individual']","{""Object Name"": ""mess kit\ncamp chest"", ""Other Terms"": ""mess kit; camp chest; Equipment, Individual""}","{""Physical Description"": ""green (overall color)\ncloth (overall material)\nleather (overall material)\nbrass (overall material)\niron (overall material)\nwood (overall material)\ntin (plates and platters material)\nglass (containers material)"", ""Measurements"": ""overall: 10 3/4 in x 21 1/4 in x 14 in; 27.305 cm x 53.975 cm x 35.56 cm""}"
metallic tractors,metallic tractors,False,"['metallic tractors', ""Tractors, Perkins', Batch of; Medicine"", ""Tractors, Perkins', Batch of""]","{""Object Name"": ""Tractors, Perkins', Batch of\nmetallic tractors"", ""Other Terms"": ""Tractors, Perkins', Batch of; Medicine""}","{""Physical Description"": ""metal (overall material)"", ""Measurements"": ""overall: 1/4 in x 3 1/2 in x 3/8 in; .635 cm x 8.89 cm x .9525 cm""}"
mezzotints,mezzotints,False,"['Mezzotints (prints)', 'print, mezzotint']","{""Object Name"": ""print, mezzotint"", ""Object Type"": ""Mezzotint""}","{""Physical Description"": ""paper (overall material)\nink (overall material)"", ""Measurements"": ""plate: 50.6 cm x 35.6 cm; 19 29/32 in x 14 1/32 in\noverall: 52 cm x 37 cm; 20 15/32 in x 14 9/16 in""}"
"micrometer, benches","micrometer, benches",False,"['Micrometer, Bench', 'Lathe, Prototype Model']","{""Object Name"": ""Micrometer, Bench\nLathe, Prototype Model""}","{""Measurements"": ""overall - from catalog card: 2 1/2 in x 2 1/2 in x 11 3/4 in; 6.35 cm x 6.35 cm x 29.845 cm\noverall: 4 3/8 in x 2 1/2 in x 11 5/8 in; 11.1125 cm x 6.35 cm x 29.5275 cm""}"
microscopes,microscopes,False,['Microscopes'],"{""Object Name"": ""microscope""}","{""Physical Description"": ""wood (overall material)\ncardboard (overall material)"", ""Measurements"": ""overall: 13 1/4 in x 4 3/4 in x 5 1/8 in; 33.655 cm x 12.065 cm x 13.0175 cm""}"
"milestone, philadelphia pittsburghs","milestone, philadelphia pittsburghs",False,"['milestone, Philadelphia-Pittsburgh']","{""Object Name"": ""milestone, Philadelphia-Pittsburgh""}","{""Physical Description"": ""stone (overall material)""}"
mills,mills,False,['Mills (equipment)'],"{""Object Name"": ""Mill""}","{""Physical Description"": ""wood (overall material)\nbrass (overall material)\niron (overall material)"", ""Measurements"": ""overall: 21.7 cm x 16.7 cm x 9.7 cm; 8 9/16 in x 6 9/16 in x 3 13/16 in""}"
"mirror frame, part oves","mirror frame, part oves",False,"['Mirror Frame, Part of', 'frame, mirror, part of']","{""Object Name"": ""Mirror Frame, Part of\nframe, mirror, part of""}","{""Physical Description"": ""basswood (frame material)\nlinden (frame material)\npaint (glass panel material)\nglass (glass panel material)\nScots pine (frame support material)"", ""Measurements"": ""overall: 1/2 in x 7 3/8 in x 4 1/4 in; 1.27 cm x 18.7325 cm x 10.795 cm""}"
mirrors,mirrors,False,['Mirrors'],"{""Object Name"": ""mirror""}","{""Physical Description"": ""mahogany (frame, crest, skirt, ears material)\ngilt (frame and crest decoration material)\nmirrored glass (mirror material)\npine, white (backboard, glue blocks material)"", ""Measurements"": ""overall: 29 3/4 in x 15 in x 5/8 in; 75.565 cm x 38.1 cm x 1.5875 cm""}"
mitten; clothing; early 19th centuries,mittens,True,"['Mitten; Clothing; Early 19th Century', 'Mittens (handwear)']","{""Object Name"": ""Mitten\nmitten"", ""Other Terms"": ""Mitten; Clothing; Early 19th Century""}","{""Physical Description"": ""wool (overall material)\nblue (overall color)\nwhite lettering (overall color)\nhandspun; hand-knitted (overall production method/technique)"", ""Measurements"": ""overall: 10 1/4 in x 5 in; 26.035 cm x 12.7 cm""}"
"mitts, pair of; handwear; accessories worn on the body; females",mitts,True,"['Mitts, Pair of; Handwear; Accessories Worn on the Body; Female', 'Mitts, Pair of']","{""Object Name"": ""Mitts, Pair of"", ""Other Terms"": ""Mitts, Pair of; Handwear; Accessories Worn on the Body; Female""}",
"mixer, drink, bow drills","mixer, drink, bow drills",False,"['mixer, drink, bow-drill']","{""Object Name"": ""mixer, drink, bow-drill""}","{""Physical Description"": ""wood (overall material)\nflax (string material)"", ""Measurements"": ""overall: 2 1/4 in x 20 in x 11 in; 5.715 cm x 50.8 cm x 27.94 cm""}"
"model, semaphore telegraphs","model, semaphore telegraphs",False,"['Model, Semaphore Telegraph', 'semaphore model']","{""Object Name"": ""Model, Semaphore Telegraph\nsemaphore model""}","{""Measurements"": ""overall: 44 1/4 in x 14 in x 14 1/2 in; 112.395 cm x 35.56 cm x 36.83 cm""}"
models,models,False,"['Patents', 'patent model, velocipede; tricycle; Road', 'Models', 'patent model, velocipede']","{""Object Name"": ""patent model, velocipede"", ""Object Type"": ""Patent Model"", ""Other Terms"": ""patent model, velocipede; tricycle; Road""}","{""Physical Description"": ""metal (overall material)\nwood (saddle material)"", ""Measurements"": ""overall: 8 1/2 in x 4 1/2 in x 8 3/4 in; 21.59 cm x 11.43 cm x 22.225 cm\nrear wheels: 2 1/4 in; x 5.715 cm\nfront wheel: 6 in; x 15.24 cm""}"
"mold, butter cheese, part oves",molds,True,"['mold, butter/cheese, part of']","{""Object Name"": ""mold, butter/cheese, part of""}","{""Physical Description"": ""wood (overall material)"", ""Measurements"": ""overall: 5/16 in x 2 1/8 in x 13/16 in; .79375 cm x 5.3975 cm x 2.06375 cm""}"
"mold, butter, handles",molds,True,"['mold, butter, handle']","{""Object Name"": ""mold, butter, handle""}","{""Physical Description"": ""wood (overall material)"", ""Measurements"": ""average spatial: 18 cm x 11.8 cm; 7 1/16 in x 4 5/8 in\noverall: 4 1/2 in x 1 1/8 in; 11.43 cm x 2.8575 cm""}"
"mold, butters",molds,True,"['mold, butter']","{""Object Name"": ""mold, butter""}","{""Physical Description"": ""wood (overall material)\nmetal (hardware material)"", ""Measurements"": ""overall: 4 in x 6 7/8 in x 4 in; 10.16 cm x 17.4625 cm x 10.16 cm""}"
"mold, buttons",molds,True,"['mold, button']","{""Object Name"": ""mold, button""}","{""Physical Description"": ""brass (mold material)\niron (hinge plate; hinge pins; clasp material)\nwood (handle material)"", ""Measurements"": ""overall: 7/8 in x 7 1/2 in x 1 5/8 in; 2.2225 cm x 19.05 cm x 4.1275 cm""}"
"mold, cookies",molds,True,"['mold, cookie']","{""Object Name"": ""mold, cookie""}","{""Physical Description"": ""beech (overall material)"", ""Measurements"": ""overall: 3/4 in x 6 5/8 in x 4 in; 1.905 cm x 16.8275 cm x 10.16 cm""}"
"mold, gingerbreads",molds,True,"['Mold, Gingerbread']","{""Object Name"": ""Mold, Gingerbread""}","{""Physical Description"": ""wood (overall material)"", ""Measurements"": ""overall: 16 in x 7 1/4 in; 40.64 cm x 18.415 cm""}"
"mold, sugars",molds,True,"['mold, sugar']","{""Object Name"": ""mold, sugar""}","{""Physical Description"": ""wood (overall material)"", ""Measurements"": ""average spatial: 3.2 cm x 7 cm x 38 cm; 1 1/4 in x 2 3/4 in x 14 15/16 in\noverall: 1 1/4 in x 15 in x 2 3/4 in; 3.175 cm x 38.1 cm x 6.985 cm""}"
molds,molds,False,['Molds (shaping tools)'],"{""Object Name"": ""mold""}","{""Physical Description"": ""polychrome (overall surface decoration color name)\nceramic, earthenware, refined (overall material)"", ""Measurements"": ""overall: 3 7/8 in x 8 in x 4 15/16 in; 9.8425 cm x 20.32 cm x 12.54125 cm""}"
mortars,mortars,False,['Mortars (grinding tools)'],"{""Object Name"": ""Mortar""}","{""Measurements"": ""overall: 7 1/2 in x 7 1/2 in; 19.05 cm x 19.05 cm""}"
mortising machines,mortising machines,False,['Mortising Machine'],"{""Object Name"": ""Mortising Machine\nMortising Machine""}","{""Measurements"": ""overall - from catalog card: 4 in x 5 in; 10.16 cm x 12.7 cm\noverall: 8 1/8 in x 8 in x 5 1/8 in; 20.6375 cm x 20.32 cm x 13.0175 cm""}"
"mould, lead and slugs","mould, lead and slugs",False,"['mould, lead and slug', 'type mould, lead and slug', 'Mold, Lead and Slug']","{""Object Name"": ""Mold, Lead and Slug\nmould, lead and slug\ntype mould, lead and slug""}","{""Measurements"": ""overall: 9 1/2 in x 4 in x 2 1/2 in; 24.13 cm x 10.16 cm x 6.35 cm""}"
mousetraps,mousetraps,False,['Mousetraps'],"{""Object Name"": ""Mousetrap\nmousetrap""}","{""Physical Description"": ""iron, wrought (overall material)"", ""Measurements"": ""overall: 3 1/2 in x 7 in x 4 3/4 in; 8.89 cm x 17.78 cm x 12.065 cm""}"
muff; accessories carried; females,muffs,True,"['Muff; Accessories Carried; Female', 'Muffs']","{""Object Name"": ""Muff"", ""Other Terms"": ""Muff; Accessories Carried; Female""}",
mugs,mugs,False,['Mugs'],"{""Object Name"": ""mug""}","{""Physical Description"": ""\""colorless\"" (?? color)\nglass, transparent (?? material)\nblown (?? production method/technique)""}"
music books,music books,False,['music book'],"{""Object Name"": ""music book""}","{""Physical Description"": ""paper (overall material)\nink (overall material)"", ""Measurements"": ""overall: 3/8 in x 10 1/8 in x 7 in; .9525 cm x 25.7175 cm x 17.78 cm""}"
musical glasses,musical glasses,False,['musical glasses'],"{""Object Name"": ""musical glasses""}","{""Physical Description"": ""rosewood (overall material)\nglass (overall material)"", ""Measurements"": ""overall: 35 3/4 in x 35 3/4 in x 21 1/8 in; 90.805 cm x 90.805 cm x 53.6575 cm""}"
"musket, flintlocks","musket, flintlocks",False,"['musket, flintlock', 'Fussil; Firearms; Flintlock; .69 In; Smooth Bore; Muzzle Load; Sa', 'Fussil']","{""Object Name"": ""Fussil\nmusket, flintlock"", ""Other Terms"": ""Fussil; Firearms; Flintlock; .69 In; Smooth Bore; Muzzle Load; Sa""}","{""Measurements"": ""overall: 6 in x 50 in x 2 3/4 in; 15.24 cm x 127 cm x 6.985 cm\noverall, fusil: 42 1/8 in x 2 1/2 in; 106.9975 cm x 6.35 cm""}"
muskets,muskets,False,"['Muskets', 'musket, flintlock']","{""Object Name"": ""Musket\nmusket, flintlock""}","{""Measurements"": ""overall: 6 in x 61 in x 3 in; 15.24 cm x 154.94 cm x 7.62 cm\noverall, musket: 60 1/2 in x 2 5/8 in; 153.67 cm x 6.6675 cm""}"
muster rolls,muster rolls,False,['Muster Roll'],"{""Object Name"": ""Muster Roll""}","{""Measurements"": ""overall: 20 in x 15 in; 50.8 cm x 38.1 cm""}"
nail files,nail files,False,"['nail file', 'personal hygiene product', 'necessaire', 'Toothpicks', 'Toilet Accessory; Toothbrush; ""Necessaire""; Dentistry', 'oral hygiene product', 'Toothbrushes', 'ear spoon']","{""Object Name"": ""oral hygiene product\ntoothbrush\ntoothpick\near spoon\nnail file\nnecessaire\npersonal hygiene product"", ""Other Terms"": ""Toilet Accessory; Toothbrush; \""Necessaire\""; Dentistry""}","{""Measurements"": ""overall: 5/8 in x 6 in x 3/4 in; 1.5875 cm x 15.24 cm x 1.905 cm""}"
nails,nails,False,"['Nails', 'Nail; Underwater']","{""Object Name"": ""Nail"", ""Other Terms"": ""Nail; Underwater""}","{""Physical Description"": ""metal, iron (overall material)\nwood (overall material)\nwrought (overall production method/technique)"", ""Measurements"": ""average spatial: 4 in x 4 1/2 in; x 10.16 cm x 11.43 cm""}"
napkins,napkins,False,['Napkins'],"{""Object Name"": ""Napkin""}",
naturalization certificates,naturalization certificates,False,['naturalization certificate'],"{""Object Name"": ""naturalization certificate""}",
nautical compass,compasses,True,['Nautical Compass (Tell-Tale)'],"{""Object Name"": ""Nautical Compass (Tell-Tale)""}","{""Measurements"": ""overall: 8 1/2 in x 7 3/4 in; 21.59 cm x 19.685 cm\noverall: 4 1/2 in x 9 in; 11.43 cm x 22.86 cm""}"
neckcloth?; neckwear; accessories worn on the body; females,neckcloths,True,"['Neckcloth?; Neckwear; Accessories Worn on the Body; Female', 'Neckcloth?']","{""Object Name"": ""Neckcloth?"", ""Other Terms"": ""Neckcloth?; Neckwear; Accessories Worn on the Body; Female""}","{""Measurements"": ""center back: 38 cm; 14 31/32 in""}"
neckcloths,neckcloths,False,"['Neckcloth; Neckwear; Accessories Worn on the Body; Male', 'Neckcloth']","{""Object Name"": ""Neckcloth"", ""Other Terms"": ""Neckcloth; Neckwear; Accessories Worn on the Body; Male""}",
necklaces,necklaces,False,"['Necklaces', 'Necklace; Jewelry; Accessories Worn on the Body; Female']","{""Object Name"": ""Necklace"", ""Other Terms"": ""Necklace; Jewelry; Accessories Worn on the Body; Female""}","{""Physical Description"": ""glass (overall material)\nmetal, gold (overall material)"", ""Measurements"": ""overall: 8 in x 1 1/2 in; 20.32 cm x 3.81 cm""}"
neckwears,neckwears,False,"['Neckwear', 'Necktie; Neckwear; Accessories Worn on the Body; Female']","{""Object Name"": ""Necktie"", ""Other Terms"": ""Necktie; Neckwear; Accessories Worn on the Body; Female""}","{""Physical Description"": ""silk (overall material)""}"
"needle, crochets","needle, crochets",False,"['Needle, Crochet', 'Crochet hooks']","{""Object Name"": ""Needle, Crochet\ncrochet hook""}",
"needle, knittings","needle, knittings",False,"['Needle, Knitting']","{""Object Name"": ""Needle, Knitting""}","{""Physical Description"": ""metal (overall material)"", ""Measurements"": ""needle, knitting:;""}"
needleholder pincushions,needleholder pincushions,False,['Needleholder Pincushion'],"{""Object Name"": ""Needleholder Pincushion""}","{""Physical Description"": ""ceramic (overall material)\nfabric (overall material)\nfibers (overall material)"", ""Measurements"": ""average spatial: 60 cm x 65 cm; x 23 5/8 in x 25 9/16 in""}"
"needlework, embroideries","needlework, embroideries",False,"['needlework, embroidery']","{""Object Name"": ""needlework, embroidery""}","{""Physical Description"": ""silk (overall material)\nlinen (embroidery material)\nglass (frame material)"", ""Measurements"": ""overall: 15 in x 9 1/2 in; 38.1 cm x 24.13 cm""}"
newspaper clippings,newspapers,True,['Newspaper Clipping'],"{""Object Name"": ""Newspaper Clipping""}",
newspaper page; printeds,newspapers,True,"['Newspaper Page; Printed', 'clipping, newspaper']","{""Object Name"": ""clipping, newspaper"", ""Other Terms"": ""Newspaper Page; Printed""}","{""Physical Description"": ""paper (overall material)"", ""Measurements"": ""overall: 13 in x 19 in; 33.02 cm x 48.26 cm\noverall: 13 1/4 in x 18 3/4 in; 33.655 cm x 47.625 cm""}"
newspaper sheets,newspapers,True,['Newspaper Sheet'],"{""Object Name"": ""Newspaper Sheet""}","{""Measurements"": ""overall: 12 1/2 in x 12 in; 31.75 cm x 30.48 cm""}"
newspapers,newspapers,False,"['Newspapers', 'Newspaper; Print; Letterpress']","{""Object Name"": ""Newspaper"", ""Other Terms"": ""Newspaper; Print; Letterpress""}","{""Physical Description"": ""paper (overall material)"", ""Measurements"": ""overall: 20 in x 12 in; 50.8 cm x 30.48 cm""}"
"nippers, sugars","nippers, sugars",False,"['nippers, sugar']","{""Object Name"": ""nippers, sugar""}","{""Physical Description"": ""iron, wrought (overall material)"", ""Measurements"": ""overall: 1/2 in x 9 1/8 in x 3 1/4 in; 1.27 cm x 23.1775 cm x 8.255 cm""}"
nipple shields,nipple shields,False,['nipple shield'],"{""Object Name"": ""nipple shield""}","{""Physical Description"": ""metal, silver (overall material)"", ""Measurements"": ""average spatial: 3.4 cm x 6.2 cm; 1 5/16 in x 2 7/16 in\noverall: 1 5/8 in x 2 1/2 in; 4.1275 cm x 6.35 cm""}"
nyckelharpas,nyckelharpas,False,['nyckelharpa'],"{""Object Name"": ""nyckelharpa""}","{""Physical Description"": ""fir (overall material)\nbirch (overall material)\ngut (strings material)\ncopper (strings material)\nsteel (strings material)"", ""Measurements"": ""overall: 6 3/8 in x 34 in x 9 7/8 in; 16.1925 cm x 86.36 cm x 25.0825 cm""}"
oath of allegiances,oath of allegiances,False,['Oath of Allegiance'],"{""Object Name"": ""Oath of Allegiance""}","{""Measurements"": ""overall: 8 1/4 in x 5 7/8 in; 20.955 cm x 14.9225 cm""}"
oboes,oboes,False,['Oboes'],"{""Object Name"": ""oboe""}","{""Physical Description"": ""boxwood (overall material)\nsilver (overall material)"", ""Measurements"": ""overall: 22 1/2 in x 2 3/8 in; 57.15 cm x 6.0325 cm""}"
obsolete paper moneys,obsolete paper moneys,False,['obsolete paper money'],"{""Object Name"": ""obsolete paper money""}","{""Measurements"": ""overall: 47 mm x 67 mm; 1 7/8 in x 2 5/8 in""}"
octants,octants,False,['octant'],"{""Object Name"": ""octant""}","{""Measurements"": ""radius: 18 in; 45.72 cm\noverall in case: 4 13/16 in x 18 5/8 in x 21 1/4 in; 12.22375 cm x 47.3075 cm x 53.975 cm""}"
optical flats,optical flats,False,['optical flat'],"{""Object Name"": ""optical flat""}","{""Physical Description"": ""glass (overall material)"", ""Measurements"": ""overall: 1.3 cm x 10.8 cm x 10.8 cm; 1/2 in x 4 1/4 in x 4 1/4 in\noverall: 1/2 in x 4 1/4 in; 1.27 cm x 10.795 cm""}"
orders,orders,False,"['Order', 'order']","{""Object Name"": ""Order"", ""Object Type"": ""order""}","{""Physical Description"": ""paper (overall material)""}"
organs,organs,False,['organ'],"{""Object Name"": ""organ""}","{""Physical Description"": ""wood (overall material)\nmetal (overall material)\npaint (overall material)\nivory (overall material)"", ""Measurements"": ""overall: 81 in x 67 1/4 in x 36 1/2 in; 205.74 cm x 170.815 cm x 92.71 cm""}"
